date,station,aod_047,pm25
2018-10-05,Wazirpur,0.814,131.20833333333334
2018-10-06,Anand Vihar,0.4715,87.26041666666667
2018-10-06,Ashok Vihar,0.4985,74.28125
2018-10-06,Aya Nagar,0.533,98.63652173913043
2018-10-06,Bawana,0.421,93.59375
2018-10-06,Burari Crossing,0.456,79.67666666666666
2018-10-06,CRRI Mathura Road,0.495,99.59083333333332
2018-10-06,DTU,0.391,88.15625
2018-10-06,Dr. Karni Singh Shooting Range,0.5195,79.85416666666667
2018-10-06,Dwarka-Sector 8,0.509,81.02083333333333
2018-10-06,IGI Airport (T3),0.5265,67.07000000000001
2018-10-06,IHBAS,0.5255,43.53739130434783
2018-10-06,ITO,0.4675,87.30681818181819
2018-10-06,Jahangirpuri,0.435,109.35416666666667
2018-10-06,Jawaharlal Nehru Stadium,0.4725,43.541666666666664
2018-10-06,Lodhi Road,0.437,76.61999999999999
2018-10-06,Major Dhyan Chand National Stadium,0.427,70.36458333333333
2018-10-06,Mandir Marg,0.4695,75.83333333333333
2018-10-06,Mundka,0.4685,99.14583333333333
2018-10-06,NSIT Dwarka,0.509,102.145
2018-10-06,Najafgarh,0.4625,65.60416666666667
2018-10-06,Narela,0.356,93.03125
2018-10-06,Nehru Nagar,0.4895,84.71875
2018-10-06,North Campus,0.4815,74.58583333333333
2018-10-06,Okhla Phase-2,0.51,84.39583333333333
2018-10-06,Patparganj,0.4525,76.05208333333333
2018-10-06,Punjabi Bagh,0.485,68.88541666666667
2018-10-06,Pusa,0.517,51.999583333333334
2018-10-06,R K Puram,0.476,101.16666666666667
2018-10-06,Rohini,0.4595,97.91666666666667
2018-10-06,Shadipur,0.475,29.552916666666665
2018-10-06,Sirifort,0.5135,70.03125
2018-10-06,Sonia Vihar,0.4835,74.08333333333333
2018-10-06,Sri Aurobindo Marg,0.515,63.239583333333336
2018-10-06,Vivek Vihar,0.441,77.02083333333333
2018-10-06,Wazirpur,0.4325,106.70833333333333
2018-10-07,Anand Vihar,0.6715,92.40625
2018-10-07,Ashok Vihar,0.6105,64.52083333333333
2018-10-07,Aya Nagar,0.572,55.8195652173913
2018-10-07,Bawana,0.6035,107.4375
2018-10-07,Burari Crossing,0.676,96.92583333333333
2018-10-07,CRRI Mathura Road,0.5985,102.56291666666668
2018-10-07,DTU,0.623,83.92708333333333
2018-10-07,Dr. Karni Singh Shooting Range,0.584,78.65625
2018-10-07,Dwarka-Sector 8,0.636,80.55208333333333
2018-10-07,IGI Airport (T3),0.667,66.45958333333333
2018-10-07,IHBAS,0.6675,58.984583333333326
2018-10-07,ITO,0.5695,82.79166666666667
2018-10-07,Jahangirpuri,0.6485,118.38541666666667
2018-10-07,Jawaharlal Nehru Stadium,0.5685,46.90625
2018-10-07,Lodhi Road,0.544,71.21541666666667
2018-10-07,Major Dhyan Chand National Stadium,0.58,83.39583333333333
2018-10-07,Mandir Marg,0.6,70.4375
2018-10-07,Mundka,0.577,95.70833333333333
2018-10-07,NSIT Dwarka,0.636,104.51791666666666
2018-10-07,Najafgarh,0.593,56.114583333333336
2018-10-07,Narela,0.6205,101.94083333333333
2018-10-07,Nehru Nagar,0.5705,90.96875
2018-10-07,North Campus,0.609,81.21041666666666
2018-10-07,Okhla Phase-2,0.587,81.5
2018-10-07,Patparganj,0.669,73.45833333333333
2018-10-07,Punjabi Bagh,0.591,71.48958333333333
2018-10-07,Pusa,0.5625,55.452765957446815
2018-10-07,R K Puram,0.614,99.09375
2018-10-07,Rohini,0.665,105.85416666666667
2018-10-07,Shadipur,0.566,83.0675
2018-10-07,Sirifort,0.5835,65.6875
2018-10-07,Sonia Vihar,0.7,92.75
2018-10-07,Sri Aurobindo Marg,0.5995,62.041666666666664
2018-10-07,Vivek Vihar,0.6705,90.0625
2018-10-07,Wazirpur,0.5955,91.27083333333333
2018-10-08,Anand Vihar,0.802,152.70833333333334
2018-10-08,Ashok Vihar,0.748,73.52083333333333
2018-10-08,Aya Nagar,0.8045,101.15458333333333
2018-10-08,Bawana,0.7515,133.15625
2018-10-08,Burari Crossing,0.829,136.97208333333333
2018-10-08,CRRI Mathura Road,0.803,168.69647058823531
2018-10-08,DTU,0.763,119.72916666666667
2018-10-08,Dr. Karni Singh Shooting Range,0.766,118.83333333333333
2018-10-08,Dwarka-Sector 8,0.7895,127.0
2018-10-08,IGI Airport (T3),0.8185,91.20375
2018-10-08,IHBAS,0.754,93.19625
2018-10-08,ITO,0.715,122.28125
2018-10-08,Jahangirpuri,0.748,142.125
2018-10-08,Jawaharlal Nehru Stadium,0.7705,62.645833333333336
2018-10-08,Lodhi Road,0.7095,106.32375
2018-10-08,Major Dhyan Chand National Stadium,0.739,104.88541666666667
2018-10-08,Mandir Marg,0.693,104.88541666666667
2018-10-08,Mundka,0.694,125.39583333333333
2018-10-08,NSIT Dwarka,0.7895,128.74875
2018-10-08,Najafgarh,0.7525,93.57291666666667
2018-10-08,Narela,0.7075,148.07291666666666
2018-10-08,Nehru Nagar,0.7825,135.54166666666666
